P1445-1	1489	1484	127	622	2
P1448	115	111	109	4	3
P1448-1	115	109	111	3	4
P1449	10	10	10	1	1
P1449-1	10	10	10	1	1
P1451	28	27	24	2	2
P1451-1	28	24	27	2	2
P1454	38056	37598	500	6069	57
P1454-1	38056	500	37598	57	6069
P1455	710	286	582	19	42
P1455-1	710	582	286	42	19
P1456	8508	7781	8474	3	11
P1456-1	8508	8474	7781	11	3
P1462	2309	2145	102	721	4
P1462-1	2309	102	2145	4	721
P1464	27593	27559	27386	6	3
P1464-1	27593	27386	27559	3	6
P1465	11811	11810	11721	5	2
P1465-1	11811	11721	11810	2	5
P1472	20	20	20	1	1
P1472-1	20	20	20	1	1
P1476	77710	77701	77242	15	2
P1476-1	77710	77242	77701	2	15
P1477	25	25	25	1	1
P1477-1	25	25	25	1	1
P1478	317	289	242	16	4
P1478-1	317	242	289	4	16
P1479	239	136	195	7	9
P1479-1	239	195	136	9	7
P1480	1	1	1	1	1
P1480-1	1	1	1	1	1
P149	54132	50981	566	6093	8
P149-1	54132	566	50981	8	6093
P15	7	7	7	1	1
P15-1	7	7	7	1	1
P150	1009824	74662	979626	26	859
P150-1	1009824	979626	74662	859	26
P1531	526	268	349	16	4
P1531-1	526	349	268	4	16
P1532	21299	19672	319	2387	4
P1532-1	21299	319	19672	4	2387
P1533	10994	10422	10420	59	10
P1533-1	10994	10420	10422	10	59
P1534	59	57	31	19	2
P1534-1	59	31	57	2	19
P1535	3105	2416	1720	89	142
P1535-1	3105	1720	2416	142	89
P1536	75	67	68	3	4
P1536-1	75	68	67	4	3
P1537	42	38	37	3	4
P1537-1	42	37	38	4	3
P154	150	148	147	2	3
P154-1	150	147	148	3	2
P1542	2347	1745	1903	25	56
P1542-1	2347	1903	1745	56	25
P1543	1	1	1	1	1
P1543-1	1	1	1	1	1
P1546	349	345	106	186	2
P1546-1	349	106	345	2	186
P1547	3090	2880	277	2548	32
P1547-1	3090	277	2880	32	2548
P1549	7	5	7	1	3
P1549-1	7	7	5	3	1
P155	409750	404462	399386	56	15
P155-1	409750	399386	404462	15	56
P1552	13559	12825	1432	4196	18
P1552-1	13559	1432	12825	18	4196
P1557	457	395	392	7	16
P1557-1	457	392	395	16	7
P1558	69	68	26	12	2
P1558-1	69	26	68	2	12
P1559	501	501	498	2	1
P1559-1	501	498	501	1	2
P156	400594	395251	391117	36	16
P156-1	400594	391117	395251	16	36
P1560	2492	2327	2329	4	4
P1560-1	2492	2329	2327	4	4
P1563	5	5	5	1	1
P1563-1	5	5	5	1	1
P1568	60	57	36	11	2
P1568-1	60	36	57	2	11
P157	1076	1023	763	27	5
P157-1	1076	763	1023	5	27
P1571	44	44	20	20	1
P1571-1	44	20	44	1	20
P1574	227	176	133	13	18
P1574-1	227	133	176	18	13
P1576	784	750	48	352	5
P1576-1	784	48	750	5	352
P158	5	5	5	1	1
P158-1	5	5	5	1	1
P1582	790	645	611	70	5
P1582-1	790	611	645	5	70
P1589	331	324	176	40	2
P1589-1	331	176	324	2	40
P159	188922	186546	31562	6453	17
P159-1	188922	31562	186546	17	6453
P1591	3448	3321	3063	4	22
P1591-1	3448	3063	3321	22	4
P1592	20	13	20	1	3
P1592-1	20	20	13	3	1
P1593	22	13	20	3	9
P1593-1	22	20	13	9	3
P1594	180	112	94	18	8
P1594-1	180	94	112	8	18
P1595	316	242	77	151	7
P1595-1	316	77	242	7	151
P1596	876	851	64	518	3
P1596-1	876	64	851	3	518
P1598	6421	6217	2236	207	7
P1598-1	6421	2236	6217	7	207
P1599	2	2	2	1	1
P1599-1	2	2	2	1	1
P16	41955	37234	306	12489	9
P16-1	41955	306	37234	9	12489
P1604	6	6	5	2	1
P1604-1	6	5	6	1	2
P1605	12	6	12	1	4
P1605-1	12	12	6	4	1
P1606	1	1	1	1	1
P1606-1	1	1	1	1	1
P161	969512	163670	132541	514	579
P161-1	969512	132541	163670	579	514
P1611	191	188	20	20	2
P1611-1	191	20	188	2	20
P1612	3	3	3	1	1
P1612-1	3	3	3	1	1
P162	101203	86529	25236	1629	29
P162-1	101203	25236	86529	29	1629
P1620	61	45	60	2	10
P1620-1	61	60	45	10	2
P1621	9	8	9	1	2
P1621-1	9	9	8	2	1
P1622	226	223	3	155	2
P1622-1	226	3	223	2	155
P1625	63	62	57	2	2
P1625-1	63	57	62	2	2
P1629	27	25	27	1	2
P1629-1	27	27	25	2	1
P163	3148	3142	2909	9	2
P163-1	3148	2909	3142	2	9
P1637	124	121	12	37	2
P1637-1	124	12	121	2	37
P1639	953	944	943	2	2
P1639-1	953	943	944	2	2
P1640	184	145	155	7	11
P1640-1	184	155	145	11	7
P1642	1	1	1	1	1
P1642-1	1	1	1	1	1
P1651	269	269	269	1	1
P1651-1	269	269	269	1	1
P1652	6012	5857	334	274	7
P1652-1	6012	334	5857	7	274
P1654	589	589	12	278	1
P1654-1	589	12	589	1	278
P1656	97	87	88	3	6
P1656-1	97	88	87	6	3
P1657	1225	1219	7	583	2
P1657-1	1225	7	1219	2	583
P166	734462	345793	18648	29069	78
P166-1	734462	18648	345793	78	29069
P1660	2	2	2	1	1
P1660-1	2	2	2	1	1
P1663	1	1	1	1	1
P1663-1	1	1	1	1	1
P1668	10	10	10	1	1
P1668-1	10	10	10	1	1
P167	392	378	378	2	3
P167-1	392	378	378	3	2
P1672	644	549	510	5	6
P1672-1	644	510	549	6	5
P1677	1	1	1	1	1
P1677-1	1	1	1	1	1
P1678	197	188	40	66	2
P1678-1	197	40	188	2	66
P1680	3	3	3	1	1
P1680-1	3	3	3	1	1
P1684	13	11	10	4	3
P1684-1	13	10	11	3	4
P1686	24	19	22	2	3
P1686-1	24	22	19	3	2
P169	1949	1825	1831	6	11
P169-1	1949	1831	1825	11	6
P17	9441109	9411289	1508	846719	70
P17-1	9441109	1508	9411289	70	846719
P170	410872	404887	52901	39785	11
P170-1	410872	52901	404887	11	39785
P1703	13	11	10	3	3
P1703-1	13	10	11	3	3
P1704	8	4	8	1	3
P1704-1	8	8	4	3	1
P1705	616	614	593	3	2
P1705-1	616	593	614	2	3
P1706	61	25	56	2	10
P1706-1	61	56	25	10	2
P1709	5	5	5	1	1
P1709-1	5	5	5	1	1
P171	2506967	2502690	263842	4437	6
P171-1	2506967	263842	2502690	6	4437
P1716	7392	7241	351	347	7
P1716-1	7392	351	7241	7	347
P1717	238	235	230	2	3
P1717-1	238	230	235	3	2
P172	58617	57357	1599	14388	19
P172-1	58617	1599	57357	19	14388
P1731	316	295	29	115	3
P1731-1	316	29	295	3	115
P1740	1235	1235	1231	3	1
P1740-1	1235	1231	1235	1	3
P175	290349	278429	54278	621	56
P175-1	290349	54278	278429	56	621
P1750	2389	2073	365	11	21
P1750-1	2389	365	2073	21	11
P1753	10270	10258	10100	10	2
P1753-1	10270	10100	10258	2	10
P1754	9988	9864	9979	2	10
P1754-1	9988	9979	9864	10	2
P176	55684	52077	5409	710	19
P176-1	55684	5409	52077	19	710
P1766	14	12	14	1	2
P1766-1	14	14	12	2	1
P177	10794	10527	4147	163	11
P177-1	10794	4147	10527	11	163
P1772	228	228	228	1	1
P1772-1	228	228	228	1	1
P1773	66	63	49	9	2
P1773-1	66	49	63	2	9
P1775	9	8	9	1	2
P1775-1	9	9	8	2	1
P1776	4	4	4	1	1
P1776-1	4	4	4	1	1
P1777	3	3	3	1	1
P1777-1	3	3	3	1	1
P1779	11	7	11	1	3
P1779-1	11	11	7	3	1
P178	29717	28303	6685	800	13
P178-1	29717	6685	28303	13	800
P1780	8	8	8	1	1
P1780-1	8	8	8	1	1
P1788	6	6	6	1	1
P1788-1	6	6	6	1	1
P1789	26	24	26	1	2
P1789-1	26	26	24	2	1
P179	94189	93269	7553	2147	7
P179-1	94189	7553	93269	7	2147
P1791	3774	3774	3767	2	1
P1791-1	3774	3767	3774	1	2
P1792	19254	19238	19222	3	2
P1792-1	19254	19222	19238	2	3
P1793	1	1	1	1	1
P1793-1	1	1	1	1	1
P18	4599	4545	4277	26	3
P18-1	4599	4277	4545	3	26
P180	237814	80423	30137	10776	171
P180-1	237814	30137	80423	171	10776
P1801	6	6	6	1	1
