index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	CLUSTER	TABLE	ROW	COL1	COL2	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2	origin	VALIDATION
40046	0	1	17	17	1.0	1599	5	9	12	12	1.0	8	8	1.0	12	8	0.008633026176754391	0.008542731831604847	0.004768734858429962	1.7914042372272758	1	1	1.0	68	68	1	1	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	-1	1	8	8	1	1	0	0	36	16	0	0	1660	1657	160	166	1609	243	2	2	2	2420	0.00823045267489712	0.0008264462809917355	0.001243008079552517	1	199	9	1262	1022791.1	16	5	9	4@3	8@3	https://en.wikipedia.org/wiki/%C3%94 :Q11175	P156 :followed by@en	https://en.wikipedia.org/wiki/%C3%98 :Q28827	t	0
46350	39080	140	22	4	5.5	90	-1	1	22	22	1.0	1	2	0.5	22	2	0.20556027510113994	3.293755986587161e-05	0.1123884671026946	0.0002930688594210919	1	1	1.0	0	53	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	846719	70	0	846719	489751	489751	9344	251	489751	64165	185941	6775	185867	496578	0.1055871581080028	0.37429567963139726	0.37966436005235316	1	51229	186113	4	974872.140	15	-1	1	protag_article@3	spancol@4	https://en.wikipedia.org/wiki/List_of_Chinese_football_transfers_winter_2016 :Q23057894	P17 :country@en	https://en.wikipedia.org/wiki/China :Q148	t	1
46210	39268	4	1	7	0.14285714285714285	6	1	3	1	1	1.0	1	1	1.0	1	1	0.002390834376974916	0.002386247581502878	0.005854168022996836	0.4076151508000828	1	1	1.0	87	86	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	1	1	1	1	1	1	0	0	76	76	11	7	141	133	82	85	137	114	2	2	1	314	0.017543859649122806	0.0031847133757961785	0.014598540145985401	1	25	2	9998	163928.4	1	1	3	1__gold@3	1__silver@3	https://en.wikipedia.org/wiki/Ontario :Q1904	P47-1 :shares border with@en	https://en.wikipedia.org/wiki/British_Columbia :Q1974	t	0
39921	0	1	33	4	8.25	38	-1	1	31	31	1.0	1	31	0.03225806451612903	31	31	0.0008161219657747301	0.00018325340004951118	0.0006046717802412166	0.30306259699503	1	1	1.0	0	18	0	1	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	554	155	0	0	334884	334884	14832	75404	334872	329623	1	1	1	459040	3.0337688814190756e-06	2.1784593935169048e-06	2.9862156286581144e-06	1	23472	111464	6	711429.1	30	-1	1	protag_article@3	titl@3	https://en.wikipedia.org/wiki/Sam_Worthington :Q82085	P1441 :present in work@en	https://en.wikipedia.org/wiki/The_Hunter%27s_Prayer :Q18713033	t	0
39961	0	1	42	6	7.0	41	-1	1	41	41	1.0	1	41	0.024390243902439025	41	41	0.0010190112188212031	9.17359094407565e-05	0.0005557337806630762	0.16507168114074583	1	1	1.0	0	107	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	0	0	0	9	-1	1	0	0	263	2	0	0	98732	98732	8124	7180	98687	90369	1	1	1	112068	1.1065741570671359e-05	8.923153799478887e-06	1.0133046905874127e-05	1	9299	1248	16	150250.1	4	-1	1	protag_article@3	nation@3	https://en.wikipedia.org/wiki/1976_Summer_Olympics_medal_table :Q656975	P3450 :sports season of league or competition@en	https://en.wikipedia.org/wiki/West_Germany_at_the_1976_Summer_Olympics :Q150372	t	0
46602	39026	34	11	6	1.8333333333333333	23	-1	2	5	5	1.0	1	4	0.25	5	4	0.0005050280233545646	0.0006027922925585709	0.0007527833323577875	0.8007513804411281	1	1	1.0	0	17	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	-1	-1	0	8	-1	1	0	1	219	413	0	0	258342	258342	9774	20178	258318	72042	14	7	14	635525	9.716554232253407e-05	2.202903111600645e-05	5.419676522735543e-05	1	81277	2402	0	826019.34	14	-1	2	protag_article@3	candid@3	https://en.wikipedia.org/wiki/Results_of_the_New_South_Wales_state_election,_1984_(Legislative_Assembly_L-Z) :Q17027911	P1346 :winner@en	https://en.wikipedia.org/wiki/Two-party-preferred_vote :Q7858737	t	0
39958	0	1	14	11	1.2727272727272727	22	-1	1	14	14	1.0	1	14	0.07142857142857142	14	14	0.0006509318031317679	0.0007251723641291801	0.00124024675846464	0.5847000680952436	1	1	1.0	0	10	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	989	1214	0	0	91393	91393	5417	10675	91337	81165	34	34	34	110750	0.0004188997720692417	0.0003069977426636569	0.0003722478294667002	1	9526	1939	15	1033640.1	5	-1	1	protag_article@3	team@3	https://en.wikipedia.org/wiki/2012_Sudan_Premier_League :Q2953733	P710 :participant@en	https://en.wikipedia.org/wiki/Al-Nsoor :Q4703032	t	1
46497	0	1	19	10	1.9	51	0	1	17	17	1.0	6	15	0.4	17	17	9.378904646157342e-05	0.0012818782831353708	0.0006986551192510483	1.8347797759065048	1	1	1.0	16	9	1	0	0.2	0.36363636363636365	0.36363636363636365	0	0.0	0	0.0	0	0.0	0	2	1	1	0	0	1	1	1	0	2	261	10	0	2795	2785	533	929	2795	2056	137	94	137	5926	0.04571984435797665	0.02311846101923726	0.049016100178890874	1	360	557	680	128677.1	9	0	1	club**club@3	season**season@2	https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk :Q172969	P5138-1 :season of club or team@en	https://en.wikipedia.org/wiki/Ukrainian_Premier_League_1999-00 :Q2526110	t	0
46740	0	7	54	6	9	138	1	3	43	45	0.9555555556	39	40	0.975	45	41	0.0013082196	0.020079964	0.0110575952	1.8159431325	1	1	1	9	9	0	0	0	0	0	1	0.0185185185	1	0.0222222222	1	0.0243902439	0	0	1	1	0	0	1	1	0	0	126	14489	0	0	2492	2492	407	638	2499	661	50	10	49	3151	0.015128593	0.0155506189	0.0200080032	1	41	1509	6115	577694.7	39	1	3	citi@3	venu@3	https://en.wikipedia.org/wiki/East_Troy,_Wisconsin :Q1278054	P276-1 :location@en	https://en.wikipedia.org/wiki/Alpine_Valley_Music_Theatre :Q1265153	f	1
46293	7439418	22	6	6	1.0	14	-1	2	4	4	1.0	1	4	0.25	4	4	0.00014053067650995888	0.005804152832199864	0.003491966138713623	1.6621446490709695	1	1	1.0	0	22	0	1	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	0	1	0	4	-1	1	0	1	10	23659	0	0	258342	258342	9774	20178	258318	72042	1	1	1	635525	1.3880791760362012e-05	1.5735022225718894e-06	3.871197516239673e-06	1	81277	2402	0	81721.22	11	-1	2	protag_article@3	candid@3	https://en.wikipedia.org/wiki/Electoral_results_for_the_district_of_Dandenong :Q5356805	P102-1 :member of political party@en	https://en.wikipedia.org/wiki/Liberal_and_Country_Party :Q6540828	t	0
40080	0	1	73	4	18.25	201	1	3	63	63	1.0	24	18	1.3333333333333333	63	50	0.00883421176291125	0.008723342363787136	0.004877729342530534	1.7884022977095984	1	1	1.0	10	9	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	1	1	0	0	1	1	0	0	56	15	0	0	645	646	227	221	645	541	2	2	1	976	0.0036968576709796672	0.0010245901639344263	0.0031007751937984496	1	17	3	14555	622663.1	46	1	3	champion@3	finalist@3	https://en.wikipedia.org/wiki/Frederick_Keys :Q5498202	P155 :follows@en	https://en.wikipedia.org/wiki/Kinston_Indians :Q1742286	t	0
